ENTREZG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
25641	-0.381726689424173	-1.30290029874471	2.86079244646666	-2.74640696589946	0.0222965146381063	0.0774463342051909	-4.29949364953846
25667	0.185936997329533	1.13755554959656	2.73588603505107	2.74541854820078	0.0223328614682749	0.0775102766300529	-4.3011310718034
24546	-0.377072466263543	-1.29870383470761	4.62484353579582	-2.74489511440829	0.022352133867093	0.0775149040447102	-4.30199817596169
29307	-0.508060616843295	-1.42213716240736	4.06337431019119	-2.73527608182253	0.0227093129999387	0.0786904101625784	-4.31793009776196
117140	-0.375467491782254	-1.29725985142535	4.1739862541391	-2.7338479759145	0.0227628327266435	0.0788126604261432	-4.32029501856671
83497	-0.19977376723662	-1.14851823874159	3.25486387255053	-2.72352064059912	0.0231536789652945	0.0800388550859443	-4.33739344127727
207120	-0.195283220608168	-1.14494890754049	2.65451581396811	-2.72313740642752	0.0231683127379023	0.0800388550859443	-4.33802782210519
64468	0.155507696094309	1.11381350928384	4.36547076716822	2.72302636921854	0.0231725544347411	0.0800388550859443	-4.33821162422708
171455	-0.146320742128201	-1.10674337859297	2.87215983615863	-2.72100473741932	0.0232499196536117	0.0802419351623453	-4.34155794386726
29677	0.219705771618942	1.16449607076023	7.93317590833669	2.71750784339466	0.0233843586060876	0.0806415112026372	-4.34734562356552
363283	-0.305975011798445	-1.23625384819894	7.42936993823953	-2.71402723453241	0.0235189522282832	0.0809520813538207	-4.35310561393835
60328	-0.159937854967566	-1.11723901123458	3.55550113993208	-2.7136645047022	0.0235330238289819	0.0809520813538207	-4.35370584565908
246115	0.22632240771392	1.16984906802997	3.47318592764033	2.71349814188948	0.0235394804908048	0.0809520813538207	-4.35398113389504
685269	0.572520853276897	1.4871197793767	4.01157620172199	2.71297058049287	0.0235599673811505	0.0809520813538207	-4.354854102845
171126	-0.465509590596228	-1.3808049969839	5.36787020647816	-2.71276153329672	0.0235680903362894	0.0809520813538207	-4.35520001368448
117104	-0.134264294207485	-1.09753298148189	6.68731037886679	-2.71045923022151	0.0236577385525162	0.081195463292631	-4.35900946041214
294754	0.139919868830619	1.10184391479745	4.977574992215	2.70885799356649	0.0237202914843547	0.0813455392888068	-4.36165871094323
25364	-0.152028041620738	-1.1111303254524	2.21989454032142	-2.70660770839786	0.023808482431912	0.0815832296497159	-4.36538154199505
25457	0.177700236196181	1.13107942225344	2.13007654758122	2.70130435603708	0.0240176392514584	0.0822347220329252	-4.37415403955437
117260	0.161300685387118	1.11829490083924	2.24959051931411	2.7006735376808	0.0240426410946148	0.0822551481946402	-4.37519738247168
24887	-0.547567912784292	-1.46161962770952	4.42389375031209	-2.69442620404176	0.0242916719146574	0.0830413879297741	-4.38552876759942
60327	0.26125479027837	1.19852066998496	2.99355614948097	2.69274979938288	0.0243589389328796	0.083205513935947	-4.38830064558396
117029	-0.348411846336333	-1.27315833207457	3.08412567708842	-2.69046501027178	0.0244509208541757	0.0834090782479117	-4.39207816434129
361266	0.193752420621314	1.14373468125578	1.94874817873385	2.6899162037701	0.0244730671100118	0.0834090782479117	-4.39298547239052
65179	-0.145393558526355	-1.10603233113531	5.70276722396281	-2.68983258404894	0.0244764432349808	0.0834090782479117	-4.39312371395255
171052	-0.122325748347422	-1.08848818535933	2.05848816094601	-2.68786010888792	0.0245562179385199	0.0836149863769462	-4.3963845067205
25485	0.101303652291544	1.07274237929347	1.11082808159078	2.68538152747058	0.0246568338673086	0.0838914796382995	-4.40048159280447
295230	0.286493478668051	1.21967221569745	8.28519098124534	2.68441737197045	0.0246960852883751	0.083958917805719	-4.40207522474203
252858	-0.19179101729163	-1.14218078338199	1.58811876806528	-2.68096353818513	0.0248372115449899	0.084372320036086	-4.40778346583993
24197	0.186414872255079	1.13793241324413	2.39680982622913	2.67979799583682	0.0248850199366841	0.0844546846528003	-4.40970960095879
24185	-0.374992802170278	-1.29683308453311	5.17627750097432	-2.67897467015784	0.0249188471915763	0.0844546846528003	-4.41107014332649
25125	-0.240050205626321	-1.18103376055739	1.33775638919627	-2.67894436373643	0.0249200932497848	0.0844546846528003	-4.41112022365867
54245	-0.279077035284086	-1.2134183511637	2.94542471405189	-2.67790246849448	0.0249629693622511	0.0845336917039867	-4.41284188090378
25296	-0.170554468725851	-1.12549095975533	2.23035469885464	-2.67151284532734	0.0252275480796533	0.0853627527425073	-4.42339859167802
25336	-0.11572016018037	-1.08351577670774	3.51879589692079	-2.66991672984637	0.0252940797327508	0.0855209065142536	-4.42603518072705
308937	0.780213834828015	1.71738540317299	5.00448933225981	2.66939579434463	0.0253158324195119	0.0855275307933628	-4.42689566302276
79430	-0.109169428142968	-1.07860709440659	1.74143727331701	-2.6681897910106	0.0253662638825496	0.085630957997263	-4.42888766603091
81521	-0.771656509547782	-1.70722890721825	6.19492037250066	-2.66736955395814	0.0254006216218416	0.085680004705681	-4.43024242315819
362817	0.294173586903157	1.22618238700279	3.0798499910071	2.66579716209227	0.0254666165554562	0.0858356085305198	-4.43283935062182
499807	-0.261367107678719	-1.19861398143491	2.3562396383937	-2.66260209921253	0.025601249723269	0.0862221356619216	-4.43811568425561
25232	0.203936701381913	1.1518371040898	2.81067376119224	2.65908439880898	0.0257503081680696	0.086656605602982	-4.44392394380574
64203	0.223849129308345	1.16784526011467	3.88624266323468	2.65793114203802	0.0257993662270917	0.0867541334375589	-4.44582794432467
83840	-0.22799999122798	-1.1712101740975	4.07133929157873	-2.65534920830857	0.0259095401242652	0.087056860713025	-4.4500902927922
498685	0.165750446643466	1.12174942666645	0.853221558615684	2.64661430691396	0.0262857944350023	0.0882524613470435	-4.46450638585645
367235	-0.251187354379067	-1.19018624880803	2.66551371616517	-2.64505305176553	0.0263536226985095	0.0883946995204042	-4.46708245749662
94165	-0.405872409082377	-1.32488983955387	5.84494439812211	-2.64415190463065	0.0263928529625185	0.0883946995204042	-4.46856926315589
291324	-0.257551033603899	-1.19544771580331	2.95742948709629	-2.64394538171264	0.0264018519475285	0.0883946995204042	-4.4689099969606
24399	-0.156364047853905	-1.11447484052126	7.34041352748125	-2.64375872939915	0.0264099877530298	0.0883946995204042	-4.46921794415305
266668	0.308531559121109	1.23844651079993	8.67137256529549	2.64046091203265	0.0265541501057806	0.0888084230704937	-4.47465837134827
29738	-0.0999939398189515	-1.07176896045692	1.82333388029964	-2.63680312952466	0.0267149749811149	0.0892771901727745	-4.48069161551834
140665	-0.133809362401954	-1.09718694581164	2.49342610582159	-2.63604744873302	0.0267483226511992	0.0893195534589118	-4.48193792083631
362019	-0.193396200597465	-1.14345231326445	1.94371875097726	-2.63543690548995	0.026775296097177	0.0893405825759859	-4.48294482439961
24932	-0.344607037819228	-1.26980506512967	3.56708339120155	-2.63402251741049	0.0268378881483491	0.0894803354081917	-4.48527730642987
